ODDS_TYPE,MATCH_URL,COUNTRY,TIME,AVOD,AWAYTEAM,AVOA,DATE,AVOH,PAGE_URL,LEAGUE,TIMESTAMP,HOMETEAM,SEASON
EU Odds,"['<a href=""/soccer/germany/bundesliga/schalke-b-monchengladbach-pOvhs1Lm/"">Schalke - B. Monchengladbach</a>']",Germany,19:30,3.53, B. Monchengladbach,3.01,18-03-2016,2.31,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458329400,Schalke ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/hamburger-hoffenheim-Iyw0uuj0/"">Hamburger SV - Hoffenheim</a>']",Germany,14:30,3.42, Hoffenheim,3.25,19-03-2016,2.22,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458397800,Hamburger SV ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/hertha-berlin-ingolstadt-Qs0Re0zs/"">Hertha Berlin - Ingolstadt</a>']",Germany,14:30,3.22, Ingolstadt,4.22,19-03-2016,1.99,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458397800,Hertha Berlin ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/koln-bayern-munich-K0Nb0tSP/"">1. FC Koln - Bayern Munich</a>']",Germany,14:30,6.16, Bayern Munich,1.23,19-03-2016,14.07,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458397800,1. FC Koln ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/werder-bremen-mainz-hfVCxwzJ/"">Werder Bremen - Mainz</a>']",Germany,14:30,3.47, Mainz,3.00,19-03-2016,2.33,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458397800,Werder Bremen ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/wolfsburg-darmstadt-OEwdtLzf/"">Wolfsburg - Darmstadt</a>']",Germany,14:30,4.52, Darmstadt,8.05,19-03-2016,1.42,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458397800,Wolfsburg ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/eintracht-frankfurt-hannover-tAOf1MCJ/"">Eintracht Frankfurt - Hannover</a>']",Germany,17:30,3.67, Hannover,4.46,19-03-2016,1.81,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458408600,Eintracht Frankfurt ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/vfb-stuttgart-bayer-leverkusen-Wvs4va56/"">VfB Stuttgart - Bayer Leverkusen</a>']",Germany,14:30,3.55, Bayer Leverkusen,2.86,20-03-2016,2.38,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458484200,VfB Stuttgart ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/augsburg-dortmund-E3W8wJKC/"">Augsburg - Dortmund</a>']",Germany,16:30,4.44, Dortmund,1.47,20-03-2016,6.98,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1458491400,Augsburg ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/bayer-leverkusen-wolfsburg-AV1wgbKa/"">Bayer Leverkusen - Wolfsburg</a>']",Germany,18:30,3.49, Wolfsburg,3.52,01-04-2016,2.07,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459535400,Bayer Leverkusen ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/bayern-munich-eintracht-frankfurt-xI3VfKkm/"">Bayern Munich - Eintracht Frankfurt</a>']",Germany,13:30,10.92, Eintracht Frankfurt,22.48,02-04-2016,1.09,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459603800,Bayern Munich ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/darmstadt-vfb-stuttgart-IyP49J4t/"">Darmstadt - VfB Stuttgart</a>']",Germany,13:30,3.32, VfB Stuttgart,2.35,02-04-2016,3.02,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459603800,Darmstadt ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/hannover-hamburger-6cenixkC/"">Hannover - Hamburger SV</a>']",Germany,13:30,3.31, Hamburger SV,2.50,02-04-2016,2.84,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459603800,Hannover ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/ingolstadt-schalke-GSxwEadP/"">Ingolstadt - Schalke</a>']",Germany,13:30,3.21, Schalke,2.49,02-04-2016,2.94,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459603800,Ingolstadt ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/mainz-augsburg-ENbfkGJO/"">Mainz - Augsburg</a>']",Germany,13:30,3.50, Augsburg,3.75,02-04-2016,2.00,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459603800,Mainz ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/dortmund-werder-bremen-Wv3Zgv5g/"">Dortmund - Werder Bremen</a>']",Germany,16:30,7.03, Werder Bremen,12.72,02-04-2016,1.20,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459614600,Dortmund ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/b-monchengladbach-hertha-berlin-S6drhIZ5/"">B. Monchengladbach - Hertha Berlin</a>']",Germany,13:30,3.49, Hertha Berlin,4.13,03-04-2016,1.90,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459690200,B. Monchengladbach ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/hoffenheim-koln-0Kfjjd4I/"">Hoffenheim - 1. FC Koln</a>']",Germany,15:30,3.38, 1. FC Koln,2.96,03-04-2016,2.39,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1459697400,Hoffenheim ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/hertha-berlin-hannover-GANy2g3U/"">Hertha Berlin - Hannover</a>']",Germany,18:30,5.60, Hannover,10.50,08-04-2016,1.36,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460140200,Hertha Berlin ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/eintracht-frankfurt-hoffenheim-KrUS3FYH/"">Eintracht Frankfurt - Hoffenheim</a>']",Germany,13:30,3.45, Hoffenheim,3.08,09-04-2016,2.51,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460208600,Eintracht Frankfurt ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/hamburger-darmstadt-YRRG6Hla/"">Hamburger SV - Darmstadt</a>']",Germany,13:30,3.40, Darmstadt,3.61,09-04-2016,2.26,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460208600,Hamburger SV ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/ingolstadt-b-monchengladbach-hWbsNxZu/"">Ingolstadt - B. Monchengladbach</a>']",Germany,13:30,3.40, B. Monchengladbach,2.51,09-04-2016,3.13,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460208600,Ingolstadt ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/vfb-stuttgart-bayern-munich-nVVK5y45/"">VfB Stuttgart - Bayern Munich</a>']",Germany,13:30,6.60, Bayern Munich,1.28,09-04-2016,12.75,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460208600,VfB Stuttgart ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/werder-bremen-augsburg-thVO4eJB/"">Werder Bremen - Augsburg</a>']",Germany,13:30,3.55, Augsburg,3.16,09-04-2016,2.41,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460208600,Werder Bremen ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/wolfsburg-mainz-j3xC7cZh/"">Wolfsburg - Mainz</a>']",Germany,16:30,3.70, Mainz,5.05,09-04-2016,1.83,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460219400,Wolfsburg ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/schalke-dortmund-CCw88wKn/"">Schalke - Dortmund</a>']",Germany,13:30,3.81, Dortmund,2.04,10-04-2016,3.81,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460295000,Schalke ,2015
EU Odds,"['<a href=""/soccer/germany/bundesliga/koln-bayer-leverkusen-xKOX2ZmO/"">1. FC Koln - Bayer Leverkusen</a>']",Germany,15:30,3.40, Bayer Leverkusen,2.61,10-04-2016,2.97,http://www.oddsportal.com/soccer/germany/bundesliga/,Bundesliga,1460302200,1. FC Koln ,2015
